"Donor","Donor_Name","HOMO/D","LUMO/D","Acceptor","Acceptor_Name","HOMO/A","LUMO/A","Voc","Jsc","FF","PCE","reference"
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCC(C)CC1(CC(C)CC)C2=CC(C3=CC=C(C4=CC=C(C=C(C#N)C#N)C5=NSN=C45)S3)=CC=C2C2=C1C=C(C1=CC=C(C=C(C#N)C#N)C3=NSN=C13)S2","ITBC","-5.64","-3.94","0.79","13.34","0.5949","6.27","B. Xiao, Y. Zhao, A. Tang, H. Wang, J. Yang, E. Zhou, PTB7-Th based organic solar cell with a high Voc of 1.05V by modulating the LUMO energy level of benzotriazole-containing non-fullerene acceptor. Science Bulletin. 62, 1275–1282 (2017)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCC(CC)CC1(CC(CC)CCCC)C2=CC(C3=CC=C(C4=CC=C(/C=C5\SC(=C(C#N)C#N)N(CC)C5=O)C5=NSN=C45)S3)=CC=C2C2=C1C=C(C1=CC=C(/C=C3\SC(=C(C#N)C#N)N(CC)C3=O)C3=NSN=C13)S2","ITBRC","-5.6","-3.82","0.91","9.21","0.5104","4.26","B. Xiao, Y. Zhao, A. Tang, H. Wang, J. Yang, E. Zhou, PTB7-Th based organic solar cell with a high Voc of 1.05V by modulating the LUMO energy level of benzotriazole-containing non-fullerene acceptor. Science Bulletin. 62, 1275–1282 (2017)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCCCN1N=C2C(C=C(C#N)C#N)=CC=C(C3=CC4=C(S3)C3=CC5=C(C=C3C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C(C=C(C4=CCC(/C=C(/C)C#N)C6=NN(CCCCCCCC)N=C46)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C2=N1","BTA7","-5.44","-3.36","1.05","10.44","0.42","4.6","D. Liu, T. Wang, X. Ke, N. Zheng, Z. Chang, Z. Xie, Y. Liu, Ultra-narrow bandgap non-fullerene acceptors for organic solar cells with low energy loss. Mater. Chem. Front. 3, 2157–2163 (2019)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(C4=CC=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)[Se]4)=C3OCC(CC)CCCC)C3=C2C2=C(S3)C3=C(S2)C2=C(C(OCC(CC)CCCC)=C(C4=CC=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)[Se]4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1","4TO-Se-4F","-5.29","-3.85","0.7","19.13","0.5548","7.4","J. Liao, P. Zheng, Z. Cai, S. Shen, G. Xu, H. Zhao, Y. Xu, Construction of simple and low-cost acceptors for efficient non-fullerene organic solar cells. Organic Electronics. 89, 106026 (2021)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC(C3=CC=C(/C=C4\C(=O)C5=CSC=C5C4=C(C#N)C#N)O3)=C2)C2=C1C=C(C1=CC=C(/C=C3\C(=O)C4=CSC=C4C3=C(C#N)C#N)O1)C=C2","DTC-F-C","-5.66","-3.94","0.74","8.94","0.408","2.7","Y. Xu, H. Jiang, T.-K. Lau, J. Zhu, J. Wang, X. Lu, X. Zhan, Y. Lin, Fused thienobenzene-thienothiophene electron acceptors for organic solar cells. Journal of Energy Chemistry. 37, 58–65 (2019)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC(C3=CC=C(/C=C4\C(=O)C5=CSC=C5C4=C(C#N)C#N)S3)=C2)C2=C1C=C(C1=CC=C(/C=C3\C(=O)C4=CSC=C4C3=C(C#N)C#N)S1)C=C2","DTC-T-C","-5.68","-4.09","0.69","2.88","0.358","0.71","Y. Xu, H. Jiang, T.-K. Lau, J. Zhu, J. Wang, X. Lu, X. Zhan, Y. Lin, Fused thienobenzene-thienothiophene electron acceptors for organic solar cells. Journal of Energy Chemistry. 37, 58–65 (2019)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C2C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)SC2=C3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4C=C3SC(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)=CC3=C2)C=C1","IDBT-2F","-5.72","-4.19","0.708","14.3","0.642","6.49","S. Zhang, J. Gao, W. Wang, C. Zhan, S. Xiao, Z. Shi, W. You, Effect of Replacing Alkyl Side Chains with Triethylene Glycols on Photovoltaic Properties of Easily Accessible Fluorene-Based Non-Fullerene Molecular Acceptors: Improve or Deteriorate? ACS Appl. Energy Mater. 1, 1276–1285 (2018)."
"CCCCC(CC)COC(=O)C1=C(F)C2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)=C2S1","PTB7-Th","-5.22","-3.64","CCCCCCCCCCC1(CCCCCCCCCC)C2=C(C=CC(C3=CC=C(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S3)=C2)C2=C1C=C(C1=CC=C(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C=C2","DICTF-C10","-5.67","-3.89","0.86","16.35","0.5","6.93","D. Ma, S. Feng, J. Zhang, C. Kou, X. Gong, Q. Li, X. Xu, S. Yan, Z. Bo, Non-fullerene small molecular acceptors with a carbazole core for organic solar cells with high open-circuit voltage. Dyes and Pigments. 146, 293–299 (2017)."
"CCCCC(CC)CCC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C(OC)C(OC)=C(C6=CC=CS6)C6=NSN=C65)S4)SC3=C(C3=CC(F)=C(CCC(CC)CCCC)C(F)=C3)C3=C2SC(C)=C3)C=C1F","PTFBDT","","","CCN1C(=O)/C(=C/C2=CC=C(C3=CC4=C(C=C3)C3=C(C=C(C5=CC=C(/C=C6\SC(=S)N(CC)C6=O)C6=NSN=C56)C=C3)N4CC)C3=NSN=C23)SC1=S","CzC8","-5.79","-3.79","1.16","7.99","0.51","4.67","Y. Liu, H. Zhang, Y. Sun, X. Wan, Y. Chen, A-D-A-type small molecular acceptor with one hexyl-substituted thiophene as π bridge for fullerene-free organic solar cells. Sci. China Mater. 60, 49–56 (2017)."
"CCCCCCCCCCCCOC1=C(C2=CC=CS2)C2=NSN=C2C(C2=CC=C(C3=CC4=C(C5=CC(F)=C(SCC(CC)CCCC)C(F)=C5)C5=C(C=C(C)S5)C(C5=CC(F)=C(CCC(CC)CCCC)C(F)=C5)=C4S3)S2)=C1OCCCCCCCCCCCC","PBT","","","CCN1C(=O)/C(=C/C2=CC=C(C3=CC4=C(C=C3)C3=C(C=C(C5=CC=C(/C=C6\SC(=S)N(CC)C6=O)C6=NSN=C56)C=C3)N4CC)C3=NSN=C23)SC1=S","CzC8","-5.72","-3.74","1.03","9","0.5","4.64","Y. Liu, H. Zhang, Y. Sun, X. Wan, Y. Chen, A-D-A-type small molecular acceptor with one hexyl-substituted thiophene as π bridge for fullerene-free organic solar cells. Sci. China Mater. 60, 49–56 (2017)."
"CCCCCCCCCCCCOC1=C(C2=CC=CS2)C2=NSN=C2C(C2=CC=C(C3=CC4=C(C5=CC(F)=C(SCC(CC)CCCC)C(F)=C5)C5=C(C=C(C)S5)C(C5=CC(F)=C(CCC(CC)CCCC)C(F)=C5)=C4S3)S2)=C1OCCCCCCCCCCCC","PBT","","","CCCCC(CC)CN1C2=C(C=CC(C3=CC=C(/C=C4\SC(=S)N(CC)C4=O)C4=NSN=C34)=C2)C2=C1C=C(C1=CC=C(/C=C3\SC(=S)N(CC)C3=O)C3=NSN=C13)C=C2","CzC6C8","-5.79","-3.79","0.99","8.24","0.41","3.3","Y. Liu, H. Zhang, Y. Sun, X. Wan, Y. Chen, A-D-A-type small molecular acceptor with one hexyl-substituted thiophene as π bridge for fullerene-free organic solar cells. Sci. China Mater. 60, 49–56 (2017)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=C(CCCCCC)C=C(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S3)=C2)C2=C1C=C(C1=C(CCCCCC)C=C(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C=C2","DCF-2HT","","","1.02","11.3","0.495","5.71","S. Chen, L. Hong, M. Dong, W. Deng, L. Shao, Y. Bai, K. Zhang, C. Liu, H. Wu, F. Huang, A Polyfluoroalkyl-Containing Non-fullerene Acceptor Enables Self-Stratification in Organic Solar Cells. Angewandte Chemie International Edition. 62, e202213869 (2023)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","EH-C8F17","-5.63","-3.85","0.599","25.5","0.556","8.28","N. Terenti, G.-I. Giurgi, L. Szolga, I. Stroia, A. Terec, I. Grosu, A. P. Crișan, Effect of the Terminal Acceptor Unit on the Performance of Non-Fullerene Indacenodithiophene Acceptors in Organic Solar Cells. Molecules. 27, 1229 (2022)."
"CCCCCCC1=C(C)SC(C)=C1","P3HT","-5.1","-3.1","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2/C(=O)C5=CC=CC=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3/C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)=C2)C=C1","IDT-4","-5.86","-4","0.54","7.23","0.5653","2.21","Z.-Y. Zhong, J.-X. Xu, K. Zhang, M.-H. Dong, Q.-R. Huang, F. Huang, Unfused-ring Acceptors with Dithienobenzotriazole Core for Efficient Organic Solar Cells. Chin J Polym Sci. 40, 1586–1593 (2022)."
"CCCCCCC1=C(C)SC(C)=C1","P3HT","-5.1","-3.1","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\SC(=S)N(CC)C2=O)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\SC(=S)N(CC)C3=O)=C2)C=C1","IDT-2","-5.68","-3.6","0.97","3.91","0.4556","1.74","Z.-Y. Zhong, J.-X. Xu, K. Zhang, M.-H. Dong, Q.-R. Huang, F. Huang, Unfused-ring Acceptors with Dithienobenzotriazole Core for Efficient Organic Solar Cells. Chin J Polym Sci. 40, 1586–1593 (2022)."
"CCCCCCC1=C(C)SC(C)=C1","P3HT","-5.1","-3.1","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C=C(C#N)C#N)=C2)C=C1","IDT-1","-5.85","-3.85","0.67","1.76","0.4632","0.55","Z.-Y. Zhong, J.-X. Xu, K. Zhang, M.-H. Dong, Q.-R. Huang, F. Huang, Unfused-ring Acceptors with Dithienobenzotriazole Core for Efficient Organic Solar Cells. Chin J Polym Sci. 40, 1586–1593 (2022)."
"CCCCCCC1=C(C)SC(C)=C1","P3HT","-5.1","-3.1","CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\SC(SCC)=NC2=O)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\SC(SCC)=NC3=O)=C2)C=C1","IDT-3","-5.66","-3.62","0.89","0.79","0.4131","0.29","Z.-Y. Zhong, J.-X. Xu, K. Zhang, M.-H. Dong, Q.-R. Huang, F. Huang, Unfused-ring Acceptors with Dithienobenzotriazole Core for Efficient Organic Solar Cells. Chin J Polym Sci. 40, 1586–1593 (2022)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCCCC(CCCC)CC1(CC(CCCC)CCCCCC)C2=C(CC(/C=C3\C(=O)C4=C(C=C(F)C(Cl)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=C(Cl)C(Cl)=C7)C6=C(C#N)C#N)S4)C5(CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)S1)C1=NN(C)N=C13)S2","DTBTzMe-IC2CI","-5.61","-3.77","0.82","20.5","0.732","12.3","Z. Lin, F. Du, H. Wang, J. Cao, W. Tang, An unfused-ring acceptor enabling ∼12% efficiency for layer-by-layer organic solar cells. J. Mater. Chem. C. 10, 10511–10518 (2022)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCCCC(CCCC)CC1(CC(CCCC)CCCCCC)C2=C(CC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=C(F)C(F)=C7)C6=C(C#N)C#N)S4)C5(CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)S1)C1=NN(C)N=C13)S2","DTBTzMe-IC2F","-5.59","-3.74","0.83","19.52","0.739","12","Z. Lin, F. Du, H. Wang, J. Cao, W. Tang, An unfused-ring acceptor enabling ∼12% efficiency for layer-by-layer organic solar cells. J. Mater. Chem. C. 10, 10511–10518 (2022)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCCCC(CCCC)CC1(CC(CCCC)CCCCCC)C2=C(CC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=C(F)C(F)=C7)C6=C(C#N)C#N)S4)C5(CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)S1)C1=NN(CC(CC)CCCC)N=C13)S2","DTBTzEH-IC2F","-5.57","-3.68","0.87","18.75","0.705","11.5","Z. Lin, F. Du, H. Wang, J. Cao, W. Tang, An unfused-ring acceptor enabling ∼12% efficiency for layer-by-layer organic solar cells. J. Mater. Chem. C. 10, 10511–10518 (2022)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(C3=CC=C(C)C(F)=C3)C(C3=CC(F)=C(C)C=C3)=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)S1)S2","ThPF-4F","-5.49","-4.02","0.82","21.27","0.6365","11.1","M. Li, H. Liang, C. Jiang, F. Huang, J. Wang, Y. Yang, X. Wan, C. Li, Z. Yao, Y. Chen, Pyran-fused non-fullerene acceptor achieving 15.51% efficiency in organic solar cells. Organic Electronics. 106, 106541 (2022)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCC1(CCCCCCCC)C2=C(C=C3OC(CC(CC)CCCC)(CC(CC)CCCC)C4=C(SC(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)=C4)C3=C2)C2=C1C=C1C(=C2)OC(CC(CC)CCCC)(CC(CC)CCCC)C2=C1SC(/C=C1\C(=O)C3=C(C=C(F)C(F)=C3)C1=C(C#N)C#N)=C2","FOEH-2F","-5.61","-3.91","0.869","22.81","0.733","14.53","J. Zhu, C. Yang, L. Ma, T. Zhang, S. Li, S. Zhang, H. Fan, J. Hou, Terthiophene based non-fused electron acceptors for efficient organic solar cells. Organic Electronics. 105, 106512 (2022)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)C2=C1C=C1C(=C2)C(CC(CC)CCCC)(CC(CC)CCCC)C2=C1SC(/C=C1\C(=O)C3=C(C=C(F)C(F)=C3)C1=C(C#N)C#N)=C2","F-EH-2F","-5.65","-3.84","0.963","17.71","0.708","12.08","J. Zhu, C. Yang, L. Ma, T. Zhang, S. Li, S. Zhang, H. Fan, J. Hou, Terthiophene based non-fused electron acceptors for efficient organic solar cells. Organic Electronics. 105, 106512 (2022)."
"CCCCCCC(CCCC)CC1=C(C)SC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C=C(C)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C6S5)S4)S2)C2=NSN=C23)=C1","D18","-5.52","-3.47","CCCCCCCCC1(CCCCCCCC)C2=C(C=C3OC(CC(CC)CCCC)(CC(CC)CCCC)C4=C(SC(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)=C4)C3=C2)C2=C1C=C1C(=C2)OC(CC(CC)CCCC)(CC(CC)CCCC)C2=C1SC(/C=C1\C(=O)C3=C(C=C(F)C(F)=C3)C1=C(C#N)C#N)=C2","FOEH-2F","-5.61","-3.91","0.88","23.75","0.742","15.51","J. Zhu, C. Yang, L. Ma, T. Zhang, S. Li, S. Zhang, H. Fan, J. Hou, Terthiophene based non-fused electron acceptors for efficient organic solar cells. Organic Electronics. 105, 106512 (2022)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=C(C)S5)S4)S2)=C3)S1","PBDB-TF","-5.54","-3.65","CCCCC(CC)CC1=C(C2=C3OCC(CC(CC)CCCC)(CC(CC)CCCC)COC3=C(C3=C(C(CCC)CCCC)C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S3)S2)SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1","A3T-5","-5.84","-4.04","0.85","15.3","0.542","7.03","P. Wang, Y. Li, C. Han, J. Wang, F. Bi, N. Zheng, J. Yang, J. Wang, X. Bao, Rationally regulating the π-bridge of small molecule acceptors for efficient organic solar cells. J. Mater. Chem. A. 10, 17808–17816 (2022)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C2=CC=C(C4=C5C(=O)C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C(=O)C5=C(C5=CC=C(C)S5)S4)S2)=C3)S1","PBDB-TF","-5.54","-3.65","CCCCC(CC)COC1=C(C2=C(CC(CC)CCCC)C=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)SC(C2=C(C(CCC)CCCC)C=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)=C1OCC(CC)CCCC","A3T-2","-5.85","-4.01","0.85","12.5","0.581","6.2","P. Wang, Y. Li, C. Han, J. Wang, F. Bi, N. Zheng, J. Yang, J. Wang, X. Bao, Rationally regulating the π-bridge of small molecule acceptors for efficient organic solar cells. J. Mater. Chem. A. 10, 17808–17816 (2022)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCC(CC)CSC1=C(C2=CC3=C(S2)C2=CC4=C(C=C2C3(CCCCC2=CC=CC=C2)CCCCC2=CC=CC=C2)C2=C(C=C(/C=C3/C(=O)C5=CC(F)=C(F)C=C5C3=C(C#N)C#N)S2)C4(CCCCC2=CC=CC=C2)CCCCC2=CC=CC=C2)SC(/C=C2/C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1","WA1","-5.59","-3.55","0.86","22.65","0.7931","15.45","Q. Li, Q. Chen, S. Li, J. Yao, M. Zhang, Q. Wang, C. Zhang, L. Xue, Z.-G. Zhang, Q. Yan, Asymmetric non-fullerene acceptor based on a cyclohexane side chain for efficient organic solar cell. Organic Electronics. 114, 106737 (2023)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","N#CC(C#N)=C1C2=C(C=C(F)C(F)=C2)C(=O)/C1=C\C1=CC2=C(C1)C1=CC3=C(C=C1C2(CCCCC1=CC=CC=C1)CCCCC1=CC=CC=C1)C1=C(C=C(/C=C2/C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S1)C3(CCCCC1=CC=CC=C1)CCCCC1=CC=CC=C1","LA1-4F","-5.85","-3.63","0.801","17.41","0.7629","10.61","Q. Li, Q. Chen, S. Li, J. Yao, M. Zhang, Q. Wang, C. Zhang, L. Xue, Z.-G. Zhang, Q. Yan, Asymmetric non-fullerene acceptor based on a cyclohexane side chain for efficient organic solar cell. Organic Electronics. 114, 106737 (2023)."
"CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC=C(C)S4)SC(C4=CC=C(C)S4)=C3C(=O)C2=C(CC(CC)CCCC)S1","PBDB-T","-5.34","-3.44","CCCCC(CC)CSC1=C(C2=CC3=C(S2)C2=C(C=C4C(=C2)C(CCCCC2=CC=CC=C2)(CCCCC2=CC=CC=C2)C2=C4SC(C4=C(SCC(CC)CCCC)C=C(/C=C5/C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S4)=C2)C3(CCCCC2=CC=CC=C2)CCCCC2=CC=CC=C2)SC(/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1","WA2","-5.38","-3.48","0.91","14.88","0.6771","9.17","Q. Li, Q. Chen, S. Li, J. Yao, M. Zhang, Q. Wang, C. Zhang, L. Xue, Z.-G. Zhang, Q. Yan, Asymmetric non-fullerene acceptor based on a cyclohexane side chain for efficient organic solar cell. Organic Electronics. 114, 106737 (2023)."
"CCCCC(CC)CC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C(=O)C6=C(C6=CC=C(C)S6)S5)S4)SC3=C(C3=CC(F)=C(CC(CC)CCCC)S3)C3=C2SC(C)=C3)S1","PM6","-5.45","-3.64","CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC2CCCCC2)C2=C1C1=NSN=C1C1=C2N(CC2CCCCC2)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC","Y6-dch","-5.68","-4","0.859","25.46","0.732","16.01","S. Park, C. E. Song, D. H. Ryu, D. Oh, J. Kim, I.-N. Kang, Efficient ternary organic solar cells with BT-rhodanine-based nonfullerene acceptors in a PM6:Y6-BO blend. Polymer. 257, 125267 (2022)."
